(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_give_result[0]  	  cmp_give_result[1]  	  cmp_give_result[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	cmp_real_result[0]  	  cmp_real_result[1]  	  cmp_real_result[2]
Ni_8_3-1_1_21	3	8	66.1072	66.1072	1460488960	20	66.1072	66.1072	66.1072	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_22	3	8	83.0243	83.0243	1460488960	20	83.0243	83.0243	83.0243	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_23	3	8	115.548	115.548	1460488961	20	115.548	115.548	115.548	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_24	3	8	79.3879	79.3879	1460488961	20	79.3879	79.3879	79.3879	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_1_25	3	8	125.618	125.618	1460488961	20	125.618	125.618	125.618	0	2	5	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_1	3	8	82.3658	82.3658	1460488962	20	82.3658	82.3658	82.3658	0	7	20	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_2	3	8	79.8801	79.8801	1460488962	20	79.8801	79.8801	79.8801	0	22	67	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_3	3	8	102.342	102.342	1460488962	20	102.342	102.342	102.342	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_4	3	8	61.4821	61.4821	1460488962	20	61.4821	61.4821	61.4821	0	1	4	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_5	3	8	85.3829	85.3829	1460488962	20	85.3829	85.3829	85.3829	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_6	3	8	96.8716	96.8716	1460488963	20	96.8716	96.8716	96.8716	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_3-1_2_7	3	8	101.665	101.665	1460488963	20	101.665	101.665	101.665	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
